アメリカ合衆国	アメリカがっしゅうこく	通称アメリカ、50の州及び連邦区から成る連邦共和国である。
伊太利亜	いたりあ	伊と略されることもある。通称イタリアは、ヨーロッパにおける単一議会制共和国である。
伊蘭	いらん	通称イランは、西アジア・中東のイスラム共和制国家。ペルシア、ペルシャともいう。
印度	いんど	南アジアに位置し、インド亜大陸を占める連邦共和制国家で 。
英国	えいこく	通称の一例としてイギリス、ヨーロッパの主権国家である。
埃及	えじぷと	埃と略す。通称エジプトは、中東・アフリカの共和国。首都はカイロ。
越南	えつなん	通称ベトナムは、東南アジアのインドシナ半島東部に位置する社会主義共和制国家。
墺太利	おーすとりあ	オーストリアは、ヨーロッパの連邦共和制国家。首都はウィーン。略表記：墺
和蘭	おらんだ	蘭と略される。オランダ王国の構成国の一つ。国土の大半は西ヨーロッパに位置し、カリブ海にも特別自治体の島を有する。
和蘭陀	おらんだ	蘭と略される。オランダ王国の構成国の一つ。国土の大半は西ヨーロッパに位置し、カリブ海にも特別自治体の島を有する。
阿蘭陀	おらんだ	蘭と略される。オランダ王国の構成国の一つ。国土の大半は西ヨーロッパに位置し、カリブ海にも特別自治体の島を有する。
加奈陀	かなだ	「加」と略される。10の州と3の準州を持つ連邦立憲君主制国家である。イギリス連邦加盟国であり、英連邦王国のひとつ。
韓国	かんこく	朝鮮半島（韓半島）南部を実効統治する東アジアの共和制国家であり、戦後の冷戦で誕生した分断国家。
大韓民國	だいかんみんこく	朝鮮半島（韓半島）南部を実効統治する東アジアの共和制国家であり、戦後の冷戦で誕生した分断国家。
大韓民国	だいかんみんこく	朝鮮半島（韓半島）南部を実効統治する東アジアの共和制国家であり、戦後の冷戦で誕生した分断国家。
柬埔寨	かんぼじあ	通称カンボジアは、東南アジアのインドシナ半島南部に位置する立憲君主制国家。
柬蒲寨	かんぼじあ	通称カンボジアは、東南アジアのインドシナ半島南部に位置する立憲君主制国家。
希臘	ぎりしゃ	通称ギリシャは、東南ヨーロッパに位置する国である。
豪州	ごうしゅう	オーストラリア大陸本土、タスマニア島及び多数の小島から成るオセアニアの国である。
濠洲	ごうしゅう	オーストラリア大陸本土、タスマニア島及び多数の小島から成るオセアニアの国である。
西班牙	すぺいん	西と略す。ヨーロッパ南西部のイベリア半島に位置し、同半島の大部分を占める立憲君主制国家。
瑞西	ずいす	ヨーロッパにある連邦共和制国家。永世中立国だが、欧州自由貿易連合に加盟している。
瑞典	ずいてん	北ヨーロッパのスカンディナヴィア半島に位置する立憲君主制国家。西にノルウェー、北東にフィンランド、南西にカテガット海峡を挟んでデンマーク、東から南にはバルト海が存在する。首都はストックホルム。スウェーデン語ではSverige（スヴェーリエ）といい、スヴェーア族の国を意味する。
泰	たい	タイ王国。東南アジアに位置する立憲君主制国家。
台湾	たいわん	東アジアの島嶼である。1945年に当時中国大陸を本拠地とした中華民国の統治下に入り、1949年に中華民国政府が台湾に移転した。
中国	ちゅうごく	ユーラシア大陸の東部を占める地域、および、そこに成立した国家や社会。中華と同義。
丁抹	でんまーく	丁と略される。北ヨーロッパのバルト海と北海に挟まれたユトランド半島と、その周辺の多くの島々からなる立憲君主制国家である。
独国	どくこく	独（獨）と略される。通称ドイツは、ヨーロッパ中西部における議会制共和国である。
土国	どこく	通称トルコは、西アジアのアナトリア半島（小アジア）と東ヨーロッパのバルカン半島東端の東トラキア地方を領有する、アジアとヨーロッパの2つの大州にまたがる共和国。
南阿共和国	なんあきょうわこく	通称南アフリカは、アフリカ大陸最南端に位置する共和制国家で、イギリス連邦加盟国である。
日本	にほん	東アジアに位置する日本列島（北海道・本州・四国・九州の主要四島およびそれに付随する島々）及び、南西諸島・小笠原諸島などの諸島嶼から成る島国である。
捏巴爾	ねぱーる	通称ネパールは、南アジアの共和制国家。2008年に王制廃止。
諾	ノルウェー	北ヨーロッパのスカンディナビア半島西岸に位置する立憲君主制国家である。
比律賓	ふぃりぴん	東南アジアに位置する共和制国家である。島国であり、フィリピン海を挟んで日本、ルソン海峡を挟んで台湾地区、スールー海を挟んでマレーシア、セレベス海を挟んでインドネシア、南シナ海を挟んでベトナムと対する。比、菲と略される。
菲律賓	ふぃりぴん	東南アジアに位置する共和制国家である。島国であり、フィリピン海を挟んで日本、ルソン海峡を挟んで台湾地区、スールー海を挟んでマレーシア、セレベス海を挟んでインドネシア、南シナ海を挟んでベトナムと対する。比、菲と略される。
仏国	ふっこく	仏（佛）と略されることが多い。フランスの日本での略称のひとつ。
勃牙利	ぶるがりあ	通称ブルガリアは、東ヨーロッパの共和制国家である。 バルカン半島に位置し、北にルーマニア、西にセルビア、マケドニア共和国、南にギリシャ、トルコと隣接し、東は黒海に面している。首都はソフィア。
伯剌西爾	ぶらじる	伯と略される。通称ブラジルは、南アメリカに位置する連邦共和制国家である。
米国	べいこく	通称アメリカ、50の州及び連邦区から成る連邦共和国である。
白耳義	べるぎー	白と略される。西ヨーロッパに位置する連邦立憲君主制国家。隣国のオランダ、ルクセンブルクと合わせてベネルクスと呼ばれる。
波蘭	ぽーらんど	波と略記される。通称ポーランドは、中央ヨーロッパに位置する共和制国家。
葡萄牙	ぽるとがる	葡と略される。通称ポルトガルは、西ヨーロッパのイベリア半島に位置する共和制国家である。
馬来西亜	まれいしあ	馬と略す。東南アジアのマレー半島南部とボルネオ島北部を領域とする連邦立憲君主制国家で、イギリス連邦加盟国である。
墨西哥	めきしこ	略して墨。通称メキシコは、北アメリカ南部に位置する連邦共和制国家である。
蒙古	もうこ	モンゴル高原に居住する遊牧民や、彼らが居住する地域についての自称モンゴルに対する、中国語による音写の一種。鎌倉時代では、「もうこ」と共に「むくり」や「むこ」などとも呼んでいた。
羅馬尼亜	るーまにあ	ルーマニアは、東ヨーロッパに位置する共和制国家。
露西亜	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
魯西亜	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
露西亞	ろしあ	略称は露。ロシアはユーラシア大陸北部の国である
